email_id,campaign_id,emails_sent,emails_opened,emails_clicked,unsubscribes
111,111,49231,9890,704,880
112,112,42480,14263,1046,1223
113,113,16392,5767,612,163
114,114,2600,426,126,52
115,115,5772,1654,449,111
116,116,48077,17255,2995,533
117,117,43995,15674,4281,1166
118,118,7985,3062,320,200
119,119,46607,14233,890,523
120,120,8953,2568,642,194
121,121,37629,12366,3555,1026
122,122,41150,16233,4431,644
123,123,36905,10472,940,979
124,124,30495,6945,776,638
125,125,35163,10386,1140,562
126,126,47762,11258,1327,620
127,127,36399,6339,555,530
128,128,11014,3986,263,167
129,129,36560,10594,694,944
130,130,26524,11178,2191,593
131,131,38728,10228,526,534
132,132,26558,10783,3109,410
133,133,49989,18515,4628,1371
134,134,32996,7121,1131,188
135,135,23028,8075,2014,532
136,136,31630,13470,3976,580
137,137,26822,8786,1895,190
138,138,29089,5547,917,182
139,139,25844,6414,1049,347
140,140,25846,6034,1736,401
141,141,6367,1853,439,40
142,142,23935,5200,349,692
143,143,3638,1368,393,36
144,144,2335,785,86,39
145,145,8496,2711,283,191
146,146,25175,5043,1017,596
147,147,8506,3260,296,108
148,148,38924,6138,785,853
149,149,25596,6885,1574,176
150,150,46260,18465,2044,1037
151,151,20764,8411,1683,166
152,152,38088,14655,2004,598
153,153,25285,4315,914,134
154,154,28528,11317,864,827
155,155,42653,17806,2936,376
156,156,12543,4642,1352,147
157,157,36269,13868,2305,930
158,158,39828,9181,2413,1026
159,159,6679,1560,253,158
160,160,38345,12772,1848,219
161,161,22300,4561,469,556
162,162,23304,5450,1084,629
163,163,37424,5727,1643,267
164,164,48190,13104,2473,530
165,165,32201,11069,1911,799
166,166,7098,1691,255,78
167,167,44513,14442,2430,813
168,168,28885,12969,2432,398
169,169,30736,7108,802,246
170,170,13621,3332,785,391
171,171,46230,9502,989,790
172,172,48486,15848,3804,965
173,173,7588,3033,376,106
174,174,20809,3209,588,246
175,175,4573,1445,324,37
176,176,33170,5996,318,401
177,177,32373,9133,877,203
178,178,32308,5951,394,558
179,179,38815,13151,833,338
180,180,37886,16470,1174,424
181,181,37573,14252,2872,930
182,182,15790,6042,876,437
183,183,20487,8359,2486,258
184,184,41699,7008,2032,311
185,185,14617,4935,573,102
186,186,16719,3379,232,84
187,187,30524,10891,1824,177
188,188,19881,7198,1624,325
189,189,46048,10131,1176,1141
190,190,39652,13812,3914,619
191,191,36688,7977,695,427
192,192,10321,1769,161,130
193,193,38303,16330,2609,640
194,194,20928,7532,2151,366
195,195,33361,9385,1872,908
196,196,49138,12122,1364,357
197,197,45190,18111,3509,1300
198,198,45058,17862,3466,1084
199,199,12481,3633,773,348
200,200,12894,5790,920,326
201,201,6979,2030,308,90
202,202,7855,3199,423,175
203,203,19888,6936,1041,477
204,204,3404,975,125,44
205,205,27488,11255,2883,138
206,206,36559,10550,670,656
207,207,41804,15757,3251,1003
208,208,14340,3299,273,174
209,209,46760,13813,790,970
210,210,16682,6054,773,89
211,211,27738,4936,1471,771
212,212,31241,13562,2874,276
213,213,47963,11394,2579,738
214,214,32621,14486,1606,612
215,215,26138,5415,1082,618
216,216,9946,4069,484,246
217,217,28193,7103,1753,329
218,218,1168,274,34,22
219,219,44249,13137,1144,817
220,220,23618,5898,1419,340
221,221,22088,9075,2678,242
222,222,26098,5743,1400,158
223,223,49804,14537,4046,723
224,224,44495,17251,3674,391
225,225,3426,643,187,45
226,226,7577,3123,499,137
227,227,30945,4784,411,828
228,228,11116,1916,470,129
229,229,41845,14972,3180,1100
230,230,45194,18430,2672,583
231,231,48101,20021,3443,891
232,232,41465,7070,1469,1161
233,233,15908,5950,943,118
234,234,42533,15361,1154,389
235,235,20625,8683,533,513
236,236,20226,5208,821,224
237,237,28004,8955,2222,259
238,238,6175,2055,299,136
239,239,33615,14247,1222,555
240,240,17644,5079,1100,484
241,241,31490,13237,2904,281
242,242,29949,12985,3855,373
243,243,28807,10286,1689,361
244,244,26211,10641,815,380
245,245,24524,7907,2357,303
246,246,44137,11861,617,1175
247,247,49802,22016,6112,1176
248,248,19756,7561,813,494
249,249,15352,5234,1074,336
250,250,48246,18345,4039,406
251,251,7367,3101,656,93
252,252,29889,4782,675,247
253,253,20340,5044,776,203
254,254,36350,15010,2123,637
255,255,18860,7527,859,483
256,256,32578,14341,1775,871
257,257,8547,2482,170,203
258,258,15785,6440,1487,465
259,259,37524,9746,2413,200
260,260,36164,6765,961,858
261,261,18181,5915,1511,518
262,262,8100,2854,479,165
263,263,37792,9387,1901,800
264,264,42641,16935,4696,535
265,265,27758,5135,314,164
266,266,33284,6152,668,613
267,267,26470,7572,1647,624
268,268,36402,10037,2364,322
269,269,28189,9766,2523,574
270,270,19333,3089,440,310
271,271,16473,6698,501,364
272,272,36682,15425,3257,238
273,273,19080,3948,317,499
274,274,30800,5467,563,646
275,275,2399,396,52,71
276,276,38000,8039,2069,716
277,277,39429,8468,2264,521
278,278,10670,4124,820,127
279,279,10482,4677,865,261
280,280,8204,2857,161,44
281,281,16593,5420,292,193
282,282,9307,3467,629,220
283,283,32211,9163,1287,639
284,284,30622,9221,2640,186
285,285,44181,13538,2227,1285
286,286,4986,2241,586,78
287,287,8075,2398,665,55
288,288,6294,1552,135,51
289,289,41915,14247,2665,550
290,290,40150,12413,2028,808
291,291,7499,2909,228,160
292,292,37132,13599,1410,604
293,293,15974,4379,1124,239
294,294,48815,8714,1365,1055
295,295,25530,11133,2468,430
296,296,6978,2787,204,51
297,297,49417,12937,1067,321
298,298,37804,12040,2618,577
299,299,44603,19283,3003,1244
300,300,4371,1925,385,60
301,301,38874,11748,1041,662
302,302,8092,2063,390,63
303,303,19256,6204,1562,503
304,304,41745,13945,2937,236
305,305,44111,17593,2055,419
306,306,47052,17819,4996,648
307,307,12888,5296,1014,193
308,308,10297,3833,1122,75
309,309,35765,7673,1188,483
310,310,25251,6148,805,720
311,311,40074,7032,444,358
312,312,41490,6842,481,667
313,313,28788,8512,1366,340
314,314,34577,6367,1002,417
315,315,45465,14909,2709,577
316,316,15451,4149,829,80
317,317,20753,8998,2176,500
318,318,19969,4961,257,472
319,319,12514,2362,432,134
320,320,37616,15046,3784,255
321,321,49630,8074,441,1391
322,322,21516,6943,1342,489
323,323,28373,6720,1016,827
324,324,12263,4787,979,316
325,325,24714,4360,1138,273
326,326,39592,10695,745,1059
327,327,49877,12561,1673,459
328,328,34455,11713,2139,339
329,329,23896,6101,1766,505
330,330,10679,2358,204,106
331,331,40478,7928,1901,278
332,332,42153,12571,2999,1011
333,333,30419,10778,2915,641
334,334,41928,10354,3031,541
335,335,29820,5083,816,374
336,336,19001,6221,858,130
337,337,31260,8927,573,806
338,338,6028,2070,609,43
339,339,39933,12064,1998,753
340,340,49425,20697,3361,1247
341,341,43718,9026,1816,766
342,342,5054,1441,364,131
343,343,47813,8381,1772,285
344,344,47374,13327,2130,855
345,345,11403,2955,825,167
346,346,23175,8196,517,481
347,347,22931,3893,286,503
348,348,19621,4426,1163,571
349,349,40498,16684,2224,792
350,350,10268,4364,556,219
351,351,44393,11879,2361,1262
352,352,21288,6762,1425,281
353,353,9375,3290,846,220
354,354,45919,19457,1427,999
355,355,34324,8874,1248,326
356,356,15037,3797,917,147
357,357,10015,1967,243,247
358,358,34271,13066,3381,928
359,359,3473,1210,325,71
360,360,40141,10557,956,1034
361,361,41942,16471,1505,668
362,362,27926,7240,1664,816
363,363,41015,9658,2290,665
364,364,35996,7982,2325,885
365,365,13715,3570,1023,406
366,366,31256,11903,2910,549
367,367,28437,12508,3179,711
368,368,10070,4147,261,171
369,369,25327,8012,606,662
370,370,9170,2159,519,108
371,371,34643,6727,1072,992
372,372,15551,6142,1665,439
373,373,28190,4678,820,307
374,374,6348,1666,95,179
375,375,47838,16503,4090,403
376,376,19800,8419,1415,510
377,377,47238,13733,2799,1305
378,378,2245,509,131,42
379,379,48660,16187,2522,1187
380,380,16573,3983,246,256
381,381,41816,12006,933,1155
382,382,40107,12465,2592,777
383,383,48090,9284,1460,979
384,384,16765,5384,521,363
385,385,35307,15619,1045,640
386,386,34248,13217,2338,188
387,387,31810,5186,760,455
388,388,49976,7739,1912,680
389,389,49034,17021,1292,958
390,390,22791,4330,597,306
391,391,43126,8734,2137,716
392,392,46573,13671,1306,389
393,393,47926,18348,3016,591
394,394,3870,1498,406,49
395,395,21321,6494,1930,396
396,396,17601,2833,599,213
397,397,4132,1693,225,33
398,398,25118,7060,1059,401
399,399,26339,6629,641,587
400,400,25074,10713,1926,627
401,401,48650,13493,2127,1453
402,402,12826,4022,524,89
403,403,44314,10577,1707,1016
404,404,11921,4254,586,72
405,405,24105,8062,1279,505
406,406,4759,820,171,67
407,407,45525,9013,520,1193
408,408,45439,17466,1025,303
409,409,43281,11248,1638,830
410,410,40655,7969,1294,580
411,411,30094,11403,2206,548
412,412,27085,6617,791,785
413,413,2698,1000,174,39
414,414,37809,7007,1707,854
415,415,15062,6761,820,420
416,416,33191,6971,585,227
417,417,12315,5167,833,88
418,418,45690,20115,5966,991
419,419,47500,8050,1493,1295
420,420,11322,4116,1160,237
421,421,24690,7471,600,247
422,422,10101,2232,387,141
423,423,38504,10036,2518,723
424,424,41104,17069,1134,614
425,425,47984,17545,3183,1162
426,426,38676,6657,1951,814
427,427,30489,8834,1584,250
428,428,37130,12696,1212,1082
429,429,29352,8830,2358,756
430,430,34954,6847,624,456
431,431,47486,10334,2964,853
432,432,19615,7920,892,409
433,433,37099,8619,1777,755
434,434,7122,2142,197,203
435,435,11105,2236,460,305
436,436,23126,9314,1778,592
437,437,2859,498,142,69
438,438,18344,6334,1531,282
439,439,42876,6820,1856,799
440,440,43068,18820,3213,1081
441,441,45891,12474,2038,1019
442,442,11359,3201,547,114
443,443,40758,7870,2088,529
444,444,23634,10460,864,337
445,445,37808,6875,759,304
446,446,30464,6835,507,373
447,447,26175,10712,1655,760
448,448,11466,4518,1280,264
449,449,13440,5092,888,240
450,450,33686,13936,2429,244
451,451,26771,8075,2355,277
452,452,24127,3971,477,481
453,453,43877,15434,1874,228
454,454,8044,2246,607,186
455,455,27427,7125,1069,528
456,456,13756,3559,434,201
457,457,30514,11574,1388,907
458,458,45590,15195,1248,338
459,459,25457,9889,1332,724
460,460,10454,2192,388,182
461,461,3969,641,146,99
462,462,35034,10058,2027,626
463,463,22493,9658,1251,333
464,464,41402,15393,1921,555
465,465,34404,10654,2420,429
466,466,2090,544,118,61
467,467,39253,9511,2612,1052
468,468,42239,6673,1125,1232
469,469,38910,12579,2897,762
470,470,12174,3740,861,296
471,471,25916,5036,1108,150
472,472,46909,8582,469,602
473,473,10924,2991,302,191
474,474,41073,17503,4694,960
475,475,5081,1837,330,96
476,476,44399,13031,1879,1283
477,477,31124,13185,1787,431
478,478,48246,17089,4287,560
479,479,32731,6797,758,620
480,480,15736,6804,2011,382
481,481,47196,10014,2265,610
482,482,23859,7590,2152,549
483,483,19860,3705,811,287
484,484,26856,10621,3065,674
485,485,20035,3258,941,139
486,486,29991,10400,2463,310
487,487,36296,8396,1599,427
488,488,8158,2730,537,90
489,489,44898,18926,2014,485
490,490,7566,2073,475,56
491,491,10009,1516,284,282
492,492,27667,9569,2585,467
493,493,43633,9155,2663,568
494,494,43329,7268,1760,923
495,495,16218,5036,1162,460
496,496,12473,3434,890,353
497,497,3381,1518,226,58
498,498,19970,8248,431,383
499,499,8032,3442,460,131
500,500,43029,13467,2336,1224
501,501,34044,9886,970,266
502,502,11649,4302,912,267
503,503,1923,713,176,36
504,504,13659,2767,730,374
505,505,29029,8841,633,630
506,506,13109,5827,986,372
507,507,1447,330,35,34
508,508,22602,5437,1254,119
509,509,43839,11304,1232,951
510,510,31500,7624,1153,553
511,511,47108,17945,3994,987
512,512,20335,5292,556,588
513,513,32338,6336,1501,651
514,514,28252,10187,2834,676
515,515,44522,17705,4257,979
516,516,40047,16496,1162,647
517,517,47122,12182,3402,367
518,518,36890,15525,1560,679
519,519,11783,2927,527,93
520,520,14461,5279,909,397
521,521,30195,11854,1936,538
522,522,30936,9873,1872,674
523,523,21196,7778,1158,538
524,524,49877,10742,733,777
525,525,46900,7932,2367,1330
526,526,5523,2462,413,67
527,527,12795,4870,1175,376
528,528,43328,19026,2732,1182
529,529,30395,12488,3455,437
530,530,45743,20092,5397,380
531,531,23791,4415,1316,352
532,532,9345,3442,363,47
533,533,2489,1103,182,57
534,534,28795,8914,2280,322
535,535,23685,4654,451,636
536,536,8395,1340,288,171
537,537,2025,449,30,40
538,538,30257,9964,2250,188
539,539,49532,8087,1291,916
540,540,4699,902,269,51
541,541,48940,15799,3070,1189
542,542,22015,4866,1309,652
543,543,35160,7605,951,229
544,544,39775,16463,4574,821
545,545,28997,9184,566,394
546,546,43160,15166,3737,559
547,547,28284,7706,963,271
548,548,36253,10587,2777,453
549,549,47371,9157,1517,305
550,550,28045,12349,2337,234
551,551,16915,3831,507,118
552,552,30477,12316,900,704
553,553,13483,2230,321,271
554,554,3591,1479,143,86
555,555,48468,17033,1775,495
556,556,22821,5498,1524,234
557,557,13453,5900,468,403
558,558,32386,13742,3076,731
559,559,26993,11459,2154,658
560,560,25947,7521,1595,329
561,561,24569,7465,1301,183
562,562,48344,14060,3654,1346
563,563,25294,6168,378,672
564,564,49578,9607,1106,1406
565,565,38954,14257,1764,385
566,566,16074,4242,1095,281
567,567,43900,19010,2554,1057
568,568,33022,14528,3057,570
569,569,12025,4447,613,102
570,570,36818,10916,3048,683
571,571,43061,18825,3407,1118
572,572,5871,2545,552,141
573,573,28026,5359,1112,187
574,574,10897,1664,293,156
575,575,41490,14161,4014,1154
576,576,44206,13100,676,830
577,577,1776,275,63,32
578,578,19788,3069,777,432
579,579,12748,2321,171,111
580,580,13578,4561,515,188
581,581,27011,4691,1359,445
582,582,16938,7572,806,374
583,583,6283,2174,575,150
584,584,7127,1935,279,120
585,585,42729,6530,606,747
586,586,29436,10110,1342,866
587,587,7249,3033,848,77
588,588,46369,19301,3259,285
589,589,5872,2086,250,109
590,590,44129,7054,1990,567
591,591,14576,4753,1131,332
592,592,27102,11617,1450,517
593,593,38138,15270,2249,1045
594,594,22740,6029,1416,563
595,595,46174,16957,2970,1355
596,596,4519,810,87,31
597,597,40660,15479,4469,606
598,598,22389,3557,420,667
599,599,33152,7241,1363,476
600,600,13172,4661,1002,94
601,601,41541,9912,1106,284
602,602,18561,3642,830,386
603,603,49474,13203,1850,360
604,604,21202,6009,1444,160
605,605,6721,1385,224,126
606,606,27741,5020,363,523
607,607,40120,13216,1732,586
608,608,20126,5517,1350,465
609,609,37669,15879,4677,726
610,610,12113,4307,397,142
611,611,18590,5538,364,294
612,612,28597,6861,1685,401
613,613,17160,6285,1093,350
614,614,31006,5645,712,890
615,615,22772,9165,1328,604
616,616,29850,7475,1897,790
617,617,39954,7624,992,1145
618,618,14163,4159,392,211
619,619,21915,5203,1164,378
620,620,38740,14899,1958,465
621,621,26751,6942,1964,267
622,622,36758,7497,1813,208
623,623,48658,14037,3187,776
624,624,20092,8024,539,526
625,625,27813,9787,829,349
626,626,17559,6103,1396,434
627,627,5847,1664,331,114
628,628,36020,10877,3046,802
629,629,36628,5898,1722,825
630,630,36186,11874,3308,279
631,631,17268,5996,831,365
632,632,3903,1244,262,82
633,633,22731,9995,1575,119
634,634,17956,3889,920,340
635,635,46066,14859,2398,680
636,636,45535,14870,2603,620
637,637,2609,769,95,73
638,638,6626,1224,349,56
639,639,21440,5422,1334,386
640,640,23826,6977,1113,534
641,641,21900,3726,227,498
642,642,2480,1003,212,54
643,643,11771,5049,1187,210
644,644,37169,7360,1398,1076
645,645,16194,6304,1307,156
646,646,44077,12325,706,897
647,647,13931,3968,624,71
648,648,15076,3192,759,380
649,649,5100,1648,411,93
650,650,24972,6187,1017,288
651,651,33078,10198,2139,659
652,652,41062,10994,863,566
653,653,31006,10393,2633,702
654,654,20493,8721,1722,446
655,655,21524,3989,503,206
656,656,46445,8936,1314,924
657,657,38670,10251,988,807
658,658,46444,19773,5589,433
659,659,11935,3543,301,153
660,660,30556,10261,2733,879
661,661,32759,6255,1587,953
662,662,34124,11804,1797,590
663,663,47539,19109,3290,335
664,664,3022,1174,123,17
665,665,15735,4898,450,258
666,666,49661,18958,3295,882
667,667,38533,7100,1730,985
668,668,25042,7828,1872,601
669,669,29925,9393,2793,226
670,670,43839,16457,2047,1314
671,671,30473,6973,1851,218
672,672,8693,3326,363,219
673,673,39530,14101,3740,800
674,674,29060,5806,492,295
675,675,14562,5702,1097,266
676,676,40115,12501,1636,906
677,677,19961,6423,1850,356
678,678,45518,17959,1506,1081
679,679,27974,11906,3549,746
680,680,9315,3357,279,80
681,681,22108,8811,2117,484
682,682,33077,6372,1326,684
683,683,25587,7307,1522,690
684,684,7101,1923,456,158
685,685,25187,7213,1240,492
686,686,49019,8722,2555,1023
687,687,46697,12022,791,857
688,688,15275,6727,1723,265
689,689,22159,8830,1187,430
690,690,38102,15459,3819,1042
691,691,4172,683,141,108
692,692,2067,387,102,33
693,693,1044,467,73,31
694,694,9645,3999,501,259
695,695,18958,3374,472,133
696,696,44549,18761,1714,664
697,697,21021,7731,1846,330
698,698,6976,2519,126,118
699,699,9696,3181,572,156
700,700,1528,548,139,45
701,701,28676,10272,1740,307
702,702,6854,2530,191,87
703,703,20611,3939,958,491
704,704,9725,3330,730,65
705,705,37915,5783,1228,606
706,706,48345,10341,2451,1353
707,707,41375,14728,3902,296
708,708,7584,1456,117,176
709,709,24038,10552,1357,204
710,710,19151,6576,736,383
711,711,48263,16036,3924,1074
712,712,44149,18222,1847,890
713,713,13363,5002,619,85
714,714,16685,4979,389,291
715,715,39923,6838,1861,211
716,716,24664,10609,880,654
717,717,38249,10566,1971,356
718,718,31868,13905,3373,172
719,719,5425,836,86,152
720,720,27081,8178,1694,474
721,721,28225,7820,1177,593
722,722,36235,12131,1448,461
723,723,34508,14709,4318,306
724,724,22413,5989,1249,579
725,725,45633,15649,1995,727
726,726,16639,2784,199,263
727,727,30712,10248,653,664
728,728,44126,16423,1311,1001
729,729,46973,7205,1254,642
730,730,34896,13431,3091,320
731,731,9318,3493,937,217
732,732,8736,3332,191,219
733,733,18824,5781,669,552
734,734,42125,7292,1194,589
735,735,33742,13760,1262,301
736,736,7743,3238,707,61
737,737,49547,14995,914,1316
738,738,17026,2788,393,476
739,739,12728,5464,1444,239
740,740,47794,17788,2754,623
741,741,28279,12011,1561,725
742,742,38456,10069,1767,1059
743,743,12753,2766,494,78
744,744,27275,4655,774,328
745,745,21361,5301,998,111
746,746,14151,3360,826,332
747,747,16897,4886,967,292
748,748,13807,5104,952,343
749,749,10867,1650,251,117
750,750,23703,8077,1804,124
751,751,22955,3453,740,601
752,752,48658,11787,1194,1439
753,753,28513,8485,551,853
754,754,47638,11144,679,513
755,755,35062,9604,2630,577
756,756,6564,2128,375,137
757,757,26844,4629,888,426
758,758,9566,2114,243,123
759,759,26752,9636,2253,346
760,760,18822,4142,1184,158
761,761,39319,7183,548,638
762,762,21580,5868,1079,628
763,763,14607,4171,691,384
764,764,6925,1366,302,177
765,765,46670,15447,1602,1232
766,766,10720,1901,213,148
767,767,34650,5706,711,883
768,768,12394,1974,298,202
769,769,37052,8335,1379,929
770,770,10161,1894,123,249
771,771,15567,2945,753,222
772,772,42307,18245,1295,831
773,773,5914,925,61,163
774,774,30060,11807,861,787
775,775,22728,4244,1211,142
776,776,38610,10808,2497,671
777,777,26082,9258,862,270
778,778,13265,3084,498,115
779,779,41246,13848,1543,510
780,780,28000,11615,1971,201
781,781,26101,4989,498,707
782,782,35459,7969,2378,659
783,783,2279,1018,249,31
784,784,36685,14102,1917,702
785,785,22076,5883,558,286
786,786,15353,2437,615,184
787,787,31912,9855,2382,957
788,788,11461,2063,441,133
789,789,49303,8222,2459,516
790,790,26455,6784,1762,691
791,791,12540,2770,358,294
792,792,24513,10398,593,551
793,793,38201,12189,2325,370
794,794,33258,10397,976,197
795,795,4681,1028,107,85
796,796,1044,260,52,26
797,797,23331,8517,2382,609
798,798,22206,3727,323,502
799,799,10283,3931,1028,272
800,800,5753,1507,430,85
801,801,7621,1912,249,224
802,802,48995,21293,5279,1421
803,803,43544,10676,2421,829
804,804,41220,15914,1683,813
805,805,12491,3291,768,154
806,806,12646,4661,1338,363
807,807,26663,10804,2622,511
808,808,12932,4276,1198,377
809,809,15476,5291,402,269
810,810,22703,8481,928,671
811,811,12002,4090,1189,306
812,812,44910,15347,4169,726
813,813,18380,3913,873,252
814,814,8080,2958,183,128
815,815,28502,12561,3405,493
816,816,25819,6593,948,664
817,817,38883,13425,2977,352
818,818,5830,2272,132,32
819,819,18113,7888,540,167
820,820,25606,5076,348,730
821,821,7101,1785,528,194
822,822,47170,7514,2146,430
823,823,29455,5806,437,298
824,824,13450,3668,691,378
825,825,36397,8356,1005,398
826,826,4252,1138,213,73
827,827,4572,1180,185,56
828,828,44386,14981,2547,329
829,829,14562,2930,360,102
830,830,8569,2078,310,147
831,831,44321,10171,2140,650
832,832,25315,10522,1497,408
833,833,18255,5146,596,473
834,834,37978,6398,1523,823
835,835,6616,2318,584,101
836,836,39648,8653,564,581
837,837,35247,9713,1786,940
838,838,32118,10336,1125,400
839,839,26873,11309,2584,471
840,840,34870,13604,2984,715
841,841,8882,3861,626,255
842,842,11955,5279,1330,97
843,843,28746,4987,1101,288
844,844,42105,8183,1626,547
845,845,48651,20640,1377,715
846,846,27041,8534,2254,486
847,847,1810,698,143,32
848,848,28498,5236,457,546
849,849,39186,14793,4214,1102
850,850,37876,14539,3582,1010
851,851,23535,9728,1128,502
852,852,38488,12804,760,457
853,853,10427,3497,770,156
854,854,26938,11229,1492,294
855,855,49873,14591,1709,713
856,856,23142,9146,1150,277
857,857,33218,13535,2994,973
858,858,15939,3033,890,256
859,859,22028,5084,783,465
860,860,13316,3761,1046,202
861,861,32749,12374,3301,835
862,862,34768,13470,894,790
863,863,27436,5231,1374,740
864,864,2897,585,157,29
865,865,4776,1073,176,133
866,866,47178,9894,1405,783
867,867,27014,9201,744,155
868,868,25409,7537,1217,737
869,869,32102,10467,1438,291
870,870,17951,6726,1494,217
871,871,26333,4342,1143,645
872,872,15045,6125,1297,330
873,873,18634,6437,1147,495
874,874,45708,6978,1939,968
875,875,40396,15764,1670,816
876,876,21018,7646,1738,249
877,877,25672,10409,1714,268
878,878,20801,7346,1881,310
879,879,7705,1172,351,224
880,880,25525,8128,1612,308
881,881,45853,8365,551,1362
882,882,42982,10639,1268,919
883,883,43694,10470,915,1054
884,884,4720,1848,463,94
885,885,44288,10889,925,249
886,886,33595,15092,1733,519
887,887,26445,9811,1920,789
888,888,13446,3401,776,297
889,889,42832,16510,4567,933
890,890,34247,8221,760,734
891,891,37585,7680,571,308
892,892,17951,6597,1251,499
893,893,45545,19123,4084,480
894,894,15636,5836,739,386
895,895,22713,5939,1166,376
896,896,8718,2538,676,170
897,897,41675,7141,1944,729
898,898,45610,12063,1502,289
899,899,10881,2080,208,165
900,900,38316,16010,4749,328
901,901,47902,9777,686,637
902,902,12588,3071,198,205
903,903,14722,5570,513,354
904,904,33084,12755,3124,272
905,905,29423,10005,1509,857
906,906,26121,3954,725,607
907,907,1922,802,191,35
908,908,2174,767,158,24
909,909,46450,19188,2456,351
910,910,33986,11099,1018,869
911,911,20542,8926,1463,369
912,912,35348,8884,2416,1056
913,913,23461,10530,1816,557
914,914,11805,5128,1433,178
915,915,15969,3470,1027,164
916,916,2436,796,73,34
917,917,43633,16913,2432,916
918,918,36044,12144,2410,223
919,919,8085,2797,153,179
920,920,28313,8020,648,320
921,921,46997,9208,2060,975
922,922,20733,5727,430,373
923,923,41815,13869,1169,1077
924,924,7875,2389,488,95
925,925,7964,2383,481,194
926,926,35284,15593,2174,537
927,927,11510,1862,324,117
928,928,32500,8098,410,708
929,929,8237,3299,716,71
930,930,6903,2649,182,159
931,931,17770,6100,1001,523
932,932,18309,5296,396,171
933,933,3585,1454,203,78
934,934,28918,10744,792,692
935,935,4007,612,51,84
936,936,22539,5798,924,463
937,937,49042,8723,2213,469
938,938,27265,7363,1208,705
939,939,46213,18725,4680,980
940,940,11930,2194,491,77
941,941,11446,2073,575,195
942,942,38286,13534,1289,554
943,943,24501,8168,2169,661
944,944,48662,21510,1778,1363
945,945,8401,3497,560,55
946,946,43924,10729,2426,964
947,947,49734,16063,3072,1464
948,948,44898,18495,3324,997
949,949,41516,7413,1596,465
950,950,23659,8259,1737,206
951,951,37591,15698,3190,198
952,952,11284,3404,569,196
953,953,11839,2041,352,130
954,954,19229,3174,335,405
